temperature,rate_R1_fwd,rate_R2_fwd
654.2466312780726,1.5523740417448924e-05,1.6388256168599492e-05
655.2470396080033,1.601317001791754e-05,1.6880158998612512e-05
656.2474479379339,1.6516583507327867e-05,1.7385376099975352e-05
657.2478562678644,1.7034337534716953e-05,1.7904227022105677e-05
658.248264597795,1.7566796729154142e-05,1.8437037988001697e-05
659.2486729277256,1.811433382048032e-05,1.898414196549796e-05
660.2490812576561,1.867732978681992e-05,1.9545878790969915e-05
661.2494895875868,1.925617399454251e-05,2.012259527260058e-05
662.2498979175174,1.9851264402625066e-05,2.0714645360173398e-05
663.250306247448,2.046300768791869e-05,2.1322390231206517e-05
664.2507145773785,2.1091819405362205e-05,2.1946198397606923e-05
665.2511229073091,2.1738124140314142e-05,2.2586445847967002e-05
666.2515312372396,2.240235572387557e-05,2.324351618405323e-05
667.2519395671703,2.3084957357766685e-05,2.3917800749622088e-05
668.2523478971009,2.3786381805184984e-05,2.4609698726568877e-05
669.2527562270315,2.450709156510751e-05,2.5319617332966866e-05
670.253164556962,2.52475590138482e-05,2.6047971864858792e-05
671.2535728868926,2.6008266621510435e-05,2.6795185898172022e-05
672.2539812168231,2.6789707147032873e-05,2.756169140832316e-05
673.2543895467538,2.7592383786740607e-05,2.8347928868630587e-05
674.2547978766844,2.8416810351904164e-05,2.9154347499805924e-05
675.255206206615,2.926351150884285e-05,2.9981405268135717e-05
676.2556145365455,3.0133022925843635e-05,3.082956915442856e-05
677.2560228664761,3.102589147213346e-05,3.1699315181273e-05
678.2564311964067,3.194267545033142e-05,3.259112868706004e-05
679.2568395263373,3.288394474614335e-05,3.350550434321669e-05
680.2572478562679,3.385028108194095e-05,3.4442946471122315e-05
681.2576561861985,3.484227819320965e-05,3.540396896096226e-05
682.258064516129,3.586054201905331e-05,3.638909566051153e-05
683.2584728460596,3.6905690961229815e-05,3.7398860371206256e-05
684.2588811759902,3.797835605744282e-05,3.843380714036838e-05
685.2592895059208,3.907918119556643e-05,3.9494490256483086e-05
686.2596978358514,4.020882341478763e-05,4.058147453951061e-05
687.260106165782,4.1367952973568336e-05,4.169533550010993e-05
688.2605144957125,4.2557253739792435e-05,4.283665939982676e-05
689.2609228256431,4.377742334843828e-05,4.400604358242657e-05
690.2613311555738,4.502917338051511e-05,4.52040964138354e-05
691.2617394855043,4.6313229708524244e-05,4.6431437758471104e-05
692.2621478154349,4.7630332598410405e-05,4.768869882036882e-05
693.2625561453655,4.89812371213965e-05,4.897652260317904e-05
694.262964475296,5.0366713223701526e-05,5.029556392834009e-05
695.2633728052266,5.17875461424153e-05,5.164648965660162e-05
696.2637811351573,5.324453645738082e-05,5.302997886943973e-05
697.2641894650878,5.473850053226183e-05,5.4446722989087225e-05
698.2645977950184,5.627027072973135e-05,5.589742613771635e-05
699.265006124949,5.7840695568041426e-05,5.738280513962753e-05
700.2654144548795,5.945064008460813e-05,5.8903589796408464e-05
701.2658227848101,6.110098606399648e-05,6.0460523122294676e-05
702.2662311147408,6.279263236473161e-05,6.205436138609194e-05
703.2666394446713,6.452649506365816e-05,6.368587451611935e-05
704.2670477746019,6.630350789049162e-05,6.535584605432382e-05
705.2674561045325,6.812462242314915e-05,6.706507366629768e-05
706.267864434463,6.999080836935904e-05,6.881436906254201e-05
707.2682727643936,7.19030538682494e-05,7.06045582705012e-05
708.2686810943243,7.386236581511964e-05,7.243648197105907e-05
709.2690894242548,7.586977014225256e-05,7.431099566743206e-05
710.2694977541854,7.79263119736348e-05,7.622896968925949e-05
711.269906084116,8.003305613246091e-05,7.819128965789235e-05
712.2703144140465,8.219108749568656e-05,8.01988566209743e-05
713.2707227439771,8.440151102507319e-05,8.225258734806696e-05
714.2711310739078,8.666545223989438e-05,8.435341424746783e-05
715.2715394038383,8.898405749293068e-05,8.650228600326489e-05
716.2719477337689,9.135849452008587e-05,8.870016751604556e-05
717.2723560636995,9.378995235377018e-05,9.094804035105015e-05
718.27276439363,9.627964202415879e-05,9.324690261515305e-05
719.2731727235606,9.882879656676261e-05,9.559776964944337e-05
720.2735810534913,0.0001014386716891326,9.800167386042801e-05
721.2739893834218,0.00010411054588967701,0.0001004596652622046
722.2743977133524,0.0001068457208172952,0.00010297281149315809
723.274806043283,0.00010964552179131401,0.00010554219824254724
724.2752143732135,0.00011251129782896256,0.00010816892925463242
725.2756227031441,0.00011544442235039095,0.00011085412681461189
726.2760310330748,0.00011844629339287392,0.00011359893203593279
727.2764393630054,0.00012151833380465481,0.00011640450469391975
728.2768476929359,0.00012466199196789376,0.0001192720240539732
729.2772560228665,0.00012787874198701507,0.00012220268873701227
730.277664352797,0.00013117008382012056,0.00012519771708076002
731.2780726827276,0.00013453754409726372,0.0001282583473105218
732.2784810126583,0.00013798267633813617,0.00013138583815803704
733.2788893425889,0.0001415070612449952,0.0001345814687834742
734.2792976725194,0.00014511230705240732,0.00013784653900021562
735.27970600245,0.0001488000502910952,0.0001411823698581788
736.2801143323805,0.00015257195565381945,0.0001445903036364311
737.2805226623111,0.00015642971687415425,0.0001480717043130062
738.2809309922418,0.00016037505693732194,0.00015162795781895183
739.2813393221724,0.00016440972837801336,0.00015526047207351312
740.2817476521029,0.00016853551387899056,0.0001589706777261623
741.2821559820335,0.00017275422686212013,0.00016276002805889897
742.282564311964,0.00017706771132500507,0.0001666299993379755
743.2829726418946,0.0001814778429857615,0.0001705820912972856
744.2833809718253,0.00018598652911328464,0.0001746178272860463
745.2837893017559,0.00019059570951077918,0.000178738754646622
746.2841976316864,0.00019530735645010465,0.00018294644472304883
747.284605961617,0.00020012347546401603,0.0001872424939639478
748.2850142915476,0.00020504610576613756,0.00019162852313481333
749.2854226214781,0.00021007732066924742,0.00019610617829209025
750.2858309514088,0.00021521922785105283,0.000200677131297161
751.2862392813394,0.00022047397031390754,0.0002053430794515687
752.2866476112699,0.0002258437262657622,0.000210105746358201
753.2870559412005,0.00023133071015502007,0.00021496688201298552
754.2874642711311,0.00023693717263525944,0.00021992826317313477
755.2878726010616,0.00024266540141721678,0.00022499169394424523
756.2882809309923,0.0002485177218333805,0.00023015900554866555
757.2886892609229,0.0002544964970609726,0.00023543205705875905
758.2890975908534,0.0002606041286117156,0.0002408127356860452
759.289505920784,0.00026684305694969643,0.00024630295706599357
760.2899142507146,0.00027321576244890885,0.00025190466588985563
761.2903225806451,0.00027972476511660307,0.00025761983537934925
762.2907309105758,0.00028637262533753134,0.000263450468913295
763.2911392405064,0.00029316194506753184,0.00026939859913841
764.2915475704369,0.00030009536745080845,0.00027546628928266746
765.2919559003675,0.00030717557816708964,0.00028165563309747366
766.2923642302981,0.0003144053050716088,0.00028796875501182264
767.2927725602286,0.00032178731943218163,0.00029440781074184644
768.2931808901593,0.0003293244368125657,0.0003009749880083337
769.2935892200899,0.000337019516514321,0.00030767250601453604
770.2939975500204,0.0003448754630308086,0.00031450261685552345
771.294405879951,0.0003528952264856251,0.0003214676049021467
772.2948142098816,0.00036108180263490745,0.00032856978819440175
773.2952225398121,0.0003694382346002732,0.0003358115177867699
774.2956308697428,0.00037796761195431827,0.00034319517887329077
775.2960391996734,0.0003866730730186196,0.00035072319111901763
776.2964475296039,0.0003955578035411106,0.0003583980083176379
777.2968558595345,0.0004046250394401561,0.0003662221200011372
778.2972641894651,0.00041387806542389857,0.00037419805095061055
779.2976725193956,0.00042332021707806703,0.0003823283613904925
780.2980808493263,0.00043295488044624953,0.0003906156483432746
781.2984891792569,0.00044278549332433127,0.00039906254544171897
782.2988975091874,0.0004528155459170673,0.0004076717234224974
783.299305839118,0.0004630485806390451,0.0004164458900526734
784.2997141690486,0.0004734881940107828,0.0004253877917794193
785.3001224989791,0.0004841380367055085,0.0004345002129148598
786.3005308289098,0.0004950018132843205,0.00044378597703647075
787.3009391588404,0.0005060832844053699,0.0004532479460923186
788.301347488771,0.0005173862670851521,0.00046288902235487887
789.3017558187015,0.0005289146350286882,0.0004727121479370283
790.3021641486321,0.0005406723187916959,0.0004827203054258228
791.3025724785626,0.0005526633071673019,0.0004929165182020181
792.3029808084933,0.0005648916486766785,0.0005033038514510087
793.3033891384239,0.0005773614507508301,0.0005138854116943796
794.3037974683544,0.0005900768809089287,0.0005246643482832132
795.304205798285,0.0006030421682911801,0.0005356438529093133
796.3046141282156,0.0006162616024374424,0.0005468271598889704
797.3050224581461,0.0006297395372373042,0.0005582175490308485
798.3054307880768,0.0006434803876780794,0.0005698183420453467
799.3058391180074,0.0006574886337175191,0.0005816329067003972
800.306247447938,0.0006717688202083645,0.0005936646552346165
801.3066557778685,0.0006863255568737959,0.0006059170453299303
802.3070641077991,0.0007011635186765049,0.0006183935807215798
803.3074724377296,0.0007162874496503383,0.0006310978121223998
804.3078807676603,0.0007317021589640972,0.00064403333670523
805.3082890975909,0.0007474125266359068,0.0006572037992986314
806.3086974275215,0.0007634234990658659,0.0006706128921150205
807.309105757452,0.0007797400958655264,0.0006842643564588405
808.3095140873826,0.0007963674045093157,0.0006981619826394027
809.3099224173131,0.000813310585924272,0.0007123096098115219
810.3103307472438,0.0008305748729833575,0.0007267111274311167
811.3107390771744,0.0008481655708693724,0.0007413704747621413
812.311147407105,0.0008660880598117962,0.0007562916436093006
813.3115557370355,0.000884347793961362,0.0007714786750394094
814.3119640669661,0.000902950304642388,0.0007869356638845129
815.3123723968966,0.0009219011976985835,0.000802666756639839
816.3127807268273,0.0009412061578463726,0.0008186761532326924
817.3131890567579,0.0009608709474489301,0.0008349681068106667
818.3135973866885,0.0009809014073096237,0.0008515469244338435
819.314005716619,0.0010013034597995565,0.0008684169688028199
820.3144140465496,0.0010220831065666889,0.0008855826562152364
821.3148223764803,0.0010432464309478241,0.0009030484592597724
822.3152307064108,0.0010647995995968667,0.000920818908277277
823.3156390363414,0.0010867488624403802,0.0009388985885572351
824.316047366272,0.0011091005535519057,0.0009572921424832737
825.3164556962025,0.0011318610912408617,0.0009760042725628476
826.3168640261331,0.001155036982352286,0.0009950397375694962
827.3172723560638,0.0011786348184886974,0.0010144033559527164
828.3176806859943,0.0012026612811682428,0.0010341000064671975
829.3180890159249,0.0012271231386655542,0.0010541346270906047
830.3184973458555,0.0012520272519678116,0.0010745122175014807
831.318905675786,0.0012773805688710497,0.0010952378374519788
832.3193140057166,0.0013031901330114025,0.0011163166100818006
833.3197223356473,0.0013294630784310706,0.0011377537194656132
834.3201306655778,0.0013562066334561035,0.001159554414015126
835.3205389955084,0.0013834281220488364,0.0011817240052646497
836.320947325439,0.0014111349615946935,0.0012042678689691648
837.3213556553695,0.001439334667344194,0.0012271914459810684
838.3217639853001,0.0014680348525050305,0.0012505002419977958
839.3221723152308,0.0014972432292709075,0.0012741998304777883
840.3225806451613,0.001526967607369895,0.0012982958485710885
841.3229889750919,0.0015572158999391326,0.0013227940048330818
842.3233973050225,0.0015879961203837125,0.001347700072072682
843.323805634953,0.0016193163847641903,0.0013730198933696934
844.3242139648836,0.001651184912054285,0.0013987593792802657
845.3246222948143,0.0016836100282342052,0.0014249245139412604
846.3250306247448,0.0017166001631610962,0.0014515213482831212
847.3254389546754,0.0017501638546842072,0.0014785560051323874
848.325847284606,0.0017843097493988513,0.0015060346806296282
849.3262556145365,0.0018190465999758907,0.001533963640018181
850.3266639444671,0.0018543832715559728,0.0015623492267112457
851.3270722743978,0.0018903287404255001,0.0015911978511969733
852.3274806043283,0.0019268920955454528,0.0016205160038984024
853.3278889342589,0.001964082537394478,0.0016503102475195351
854.3282972641895,0.002001909382615424,0.0016805872209690706
