temperature,rate_R1_fwd,rate_R1_rev,rate_R2_fwd,rate_R2_rev,rate_R3_fwd,rate_R3_rev,rate_R4_fwd,rate_R4_rev,rate_R5_fwd,rate_R5_rev,rate_R6_fwd,rate_R6_rev,rate_R7_fwd,rate_R7_rev,rate_R8_fwd,rate_R8_rev
1343.527970600245,19.32475316244567,53942972520289.79,9.774022958140401,1727837320482836.2,4.190315862393384,47113076277112.516,1.2883089357997837,336554442501691.0,2556320607784.0737,1.7902801721728945,6221881721762.148,0.006696525791077229,1055467469512.0182,1.5147594240244073,3056305533141.417,0.018373236367731013
1344.5283789301757,19.396479399594114,53951787364176.35,9.827327171443569,1723736520186571.5,4.209271250137755,47114519452059.02,1.2967086033557311,335800643594654.7,2562723032483.562,1.8081595224213107,6231285399995.163,0.006786382135022996,1057209253637.4279,1.5288301589790272,3061237359348.803,0.018624393936121517
1345.5287872601061,19.468397012173735,53960593036320.57,9.880858714153135,1719651648732496.8,4.228291062569188,47115963490716.5,1.305152614786391,335049671744383.4,2569131866216.9287,1.826192759811351,6240689122318.905,0.006877316487710388,1058951303251.7279,1.5430123661686692,3066169734324.971,0.018878627811298117
1346.5291955900368,19.540506299238455,53969389549473.03,9.934618263912661,1715582624654842.2,4.247375440476571,47117408383940.99,1.3136411454873609,334301512983157.44,2575547098459.8564,1.844380983695695,6250092877041.888,0.006969340175987725,1060693616168.2002,1.557306766706529,3071102651120.3066,0.01913597109593674
1347.5296039199673,19.612807560293092,53978176919443.41,9.988606502630494,1711529367647622.5,4.2665245254862345,47118854123872.414,1.3221743709274807,333556153390431.25,2581968718896.465,1.8627252993086993,6259496654587.127,0.007062464630426637,1062436189851.0072,1.5717140847051534,3076036104363.629,0.019396457202840587
1348.530012249898,19.68530109300685,53986955158818.336,10.042824111597145,1707491797559514.0,4.285738459079942,47120300703935.04,1.3307524673730087,332813579170168.3,2588396716969.7734,1.8812268182703,6268900443858.465,0.007156701382682897,1064179022124.5574,1.5862350485553212,3080970087046.5093,0.019660119846751794
1349.5304205798286,19.757987195476225,53995724283244.95,10.097271771437873,1703469834691908.2,4.30501738246314,47121748111980.73,1.3393756109640282,332073776553177.6,2594831082180.632,1.8998866579577778,6278304234055.71,0.007252062065116857,1065922110679.9924,1.6008703896667713,3085904593114.3125,0.019926993050383722
1350.530828909759,19.830866169692932,54004484305146.695,10.15195016738298,1699463399944365.8,4.324361438191746,47123196344003.086,1.3480439789517706,331336731874324.7,2601271804088.3037,1.9187059425136785,6287708014676.246,0.00734855841696128,1067665453073.9801,1.615620843112502,3090839616034.2544,0.020197111151372054
1351.5312372396897,19.90393831002704,54013235235292.94,10.206859982233569,1695472414711278.0,4.343770766533252,47124645390423.836,1.3567577482992275,330602431610226.7,2607718872311.049,1.9376858016007326,6297111774966.823,0.0074462022772786955,1069409047163.2372,1.630487147454657,3095775149872.431,0.02047050879472421
1352.5316455696202,19.97720391994401,54021977092231.3,10.26200190283594,1691496800681493.8,4.363245511253496,47126095251179.234,1.365517096969217,329870862205231.2,2614172276298.462,1.9568273713586974,6306515503553.95,0.0075450055928833,1071152890639.2489,1.645470044943173,3100711188034.8804,0.020747220946206932
1353.5320538995509,20.05066329466316,54030709883424.336,10.317376614456224,1687536480377459.2,4.382785813186945,47127545905546.87,1.3743222033029165,329142010321188.44,2620632005634.3184,1.9761317944974472,6315919191379.757,0.007644980416170005,1072896981214.1603,1.6605702815799035,3105647724617.7905,0.02102728288768965
